"annotation_id","annotator","created_at","has_damage","id","images","layer","lead_time","updated_at"
89,"1","2026-05-23T17:25:51.760925Z","",89,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1557.png","[{""x"":34.79216842155273,""y"":76.69772384819859,""width"":5.7318751719130745,""height"":5.723242829786676,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":34.702271260982855,""y"":39.74977536285099,""width"":23.35514137981361,""height"":43.48888394861847,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",31.045,"2026-05-23T17:25:51.760936Z"
90,"1","2026-05-23T17:26:21.142033Z","",90,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1558.png","[{""x"":30.721020788370723,""y"":65.76978199295931,""width"":4.298008768670727,""height"":7.481421979794356,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":30.384615384615426,""y"":24.00483051313729,""width"":52.21108204494635,""height"":49.74516948686272,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",29.058,"2026-05-23T17:26:21.142043Z"
91,"1","2026-05-23T17:26:42.902726Z","",91,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1559.png","[{""x"":41.05626311210116,""y"":45.975863521204815,""width"":1.3280526348269532,""height"":4.857607906617005,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":24.799441396185344,""y"":28.08172040450399,""width"":22.975953058230285,""height"":38.2020806801527,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",21.436,"2026-05-23T17:26:42.902736Z"
92,"1","2026-05-23T17:27:08.682595Z","",92,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1560.png","[{""x"":55.90171715155924,""y"":44.41894107024621,""width"":2.326056685850737,""height"":1.9095668062896243,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":44.571960497478216,""y"":31.56451391751774,""width"":13.877213812948252,""height"":16.102804707477688,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",25.396,"2026-05-23T17:27:08.682606Z"
93,"1","2026-05-23T17:27:33.771603Z","Registraion number has defect",93,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1561.png","[{""x"":62.60698438415106,""y"":48.48689241534205,""width"":2.962578954613928,""height"":2.773586848888512,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":46.49045956339404,""y"":29.978115616968186,""width"":19.18066599750064,""height"":22.87383771130516,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",24.722,"2026-05-23T17:27:33.771612Z"
94,"1","2026-05-23T17:28:01.797263Z","",94,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1562.png","[{""x"":58.82451224140715,""y"":50.556222439927865,""width"":3.2197859121958876,""height"":4.805422999060208,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":26.083234437202318,""y"":19.984364391959268,""width"":35.966239407392614,""height"":37.33295650487354,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",42.292,"2026-05-23T17:28:21.685575Z"
95,"1","2026-05-23T17:28:53.412425Z","",95,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1563.png","[{""x"":22.566091110434787,""y"":41.140642295976484,""width"":9.112300348601474,""height"":7.642212484479856,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":11.153846153846152,""y"":12.211538461538469,""width"":60.76923076923072,""height"":54.23076923076924,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",28.251,"2026-05-23T17:28:53.412435Z"
96,"1","2026-05-23T17:29:15.412068Z","Registraion number has defect",96,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1564.png","[{""x"":65.24752481401272,""y"":50.702624653264714,""width"":1.968174004813548,""height"":2.4602175060169174,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":46.28737809954339,""y"":34.784409601981466,""width"":20.999493499263693,""height"":20.08340821238303,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",21.653,"2026-05-23T17:29:15.412079Z"
97,"1","2026-05-23T17:30:07.041456Z","Registraion number has defect",97,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1565.png","[{""x"":89.56904033285767,""y"":58.134361645550925,""width"":5.586582236753566,""height"":5.80093390892408,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":63.11928295320354,""y"":19.856903608483876,""width"":32.09810330420269,""height"":45.95780342880417,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",51.275,"2026-05-23T17:30:07.041467Z"
98,"1","2026-05-23T17:30:52.440119Z","",98,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1566.png","[{""x"":38.982184907747744,""y"":68.79555941764902,""width"":8.86990418169287,""height"":8.678167531148748,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":38.76190476190472,""y"":12.071428571428573,""width"":42.19047619047615,""height"":65.78571428571439,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",45.049,"2026-05-23T17:30:52.440129Z"
99,"1","2026-05-23T17:31:20.522823Z","Registraion number has defect",99,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1567.png","[{""x"":31.54848622311246,""y"":68.01807390466752,""width"":7.0538567089807005,""height"":8.156823394384991,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":31.333333333333314,""y"":14.571428571428571,""width"":40.571428571428584,""height"":62.14285714285709,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",27.639,"2026-05-23T17:31:20.522833Z"
100,"1","2026-05-23T17:31:56.081839Z","",100,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1568.png","[{""x"":46.52037121754555,""y"":54.714841686446306,""width"":4.6170698458782775,""height"":3.847558204898479,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":32.93718206098652,""y"":28.65902047968072,""width"":18.321705737612582,""height"":31.84050718543662,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",31.173,"2026-05-23T17:31:56.081849Z"
101,"1","2026-05-23T17:32:36.256955Z","",101,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1569.png","[{""x"":65.50772698701694,""y"":54.95279276936075,""width"":6.502373366278732,""height"":5.299434293517115,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":65.33333333333334,""y"":22.64285714285714,""width"":29.333333333333407,""height"":39.35714285714277,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",39.729,"2026-05-23T17:32:36.256966Z"
102,"1","2026-05-23T17:33:05.097835Z","",102,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1570.png","[{""x"":80.9615276242495,""y"":56.622927368489485,""width"":5.505342783449133,""height"":6.047207230639146,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":41.87674419530478,""y"":37.54111556840697,""width"":52.4613252544662,""height"":40.67300891355963,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",28.472,"2026-05-23T17:33:05.097845Z"
103,"1","2026-05-23T17:33:36.934293Z","Registraion number has defect",103,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1571.png","[{""x"":66.36940816731435,""y"":61.63060016906139,""width"":3.334550444245395,""height"":4.901789153040924,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":35.14304455820253,""y"":36.56073538270043,""width"":34.842649539871175,""height"":32.001476457274244,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",31.458,"2026-05-23T17:33:36.934303Z"
104,"1","2026-05-23T17:34:02.926742Z","",104,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1572.png","[{""x"":28.24526952337603,""y"":54.83702551431272,""width"":6.385330645685617,""height"":5.820624527952542,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":21.523809523809526,""y"":36.14285714285714,""width"":48.00000000000001,""height"":40.35714285714285,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",25.638,"2026-05-23T17:34:02.926753Z"
105,"1","2026-05-23T17:34:26.296839Z","",105,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1573.png","[{""x"":25.123696816004504,""y"":54.82967032967032,""width"":10.256410256410255,""height"":6.973795435333905,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":10.47619047619048,""y"":24.785714285714267,""width"":44.952380952380935,""height"":60.428571428571374,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",22.914,"2026-05-23T17:34:26.296850Z"
106,"1","2026-05-23T17:34:52.379668Z","",106,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1580.png","[{""x"":63.64020200706588,""y"":59.85867091488393,""width"":5.331946160348478,""height"":6.209766564796137,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":33.238095238095205,""y"":22.428571428571416,""width"":36.00000000000003,""height"":45.2857142857143,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",25.752,"2026-05-23T17:34:52.379678Z"
107,"1","2026-05-23T17:35:20.884838Z","Registraion number has defect",107,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1581.png","[{""x"":40.85432516201743,""y"":55.27514792899404,""width"":6.48069878839107,""height"":6.551141166525783,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":30.54156100309946,""y"":33.550718512256964,""width"":26.035502958579787,""height"":50.084530853761564,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",28.165,"2026-05-23T17:35:20.884848Z"
108,"1","2026-05-23T17:36:03.017875Z","Registraion number has defect",108,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1582.png","[{""x"":48.24500942844138,""y"":47.967097990766625,""width"":6.5890716778290574,""height"":5.299434293517024,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":27.301174452484677,""y"":31.404624116373924,""width"":31.58295635049652,""height"":38.27111181295458,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",41.723,"2026-05-23T17:36:03.017886Z"
109,"1","2026-05-23T17:36:42.106826Z","Registraion number has defect",109,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1586.png","[{""x"":59.34353038859177,""y"":61.60506084720922,""width"":5.502008233004947,""height"":5.076853051363449,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":38.095238095238095,""y"":27.785714285714292,""width"":26.57142857142857,""height"":40.785714285714306,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",38.736,"2026-05-23T17:36:42.106836Z"
110,"1","2026-05-23T17:37:12.330491Z","Registraion number has defect",110,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1587.png","[{""x"":62.70789171380886,""y"":55.46017296313154,""width"":3.511281617790369,""height"":6.3398140321215335,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":24.42174039783024,""y"":15.776453711727239,""width"":42.110608467328696,""height"":47.507136023015754,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",25.571,"2026-05-23T17:37:12.330501Z"
112,"1","2026-05-23T17:37:51.969032Z","Registraion number has defect",112,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1589.png","[{""x"":20.666666666666668,""y"":69.92857142857142,""width"":4.190476190476198,""height"":9.99999999999996,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":20.095238095238116,""y"":12.5,""width"":61.904761904761884,""height"":67.71428571428567,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",32.322,"2026-05-23T17:37:51.969056Z"
113,"1","2026-05-23T17:38:17.785913Z","Registraion number has defect",113,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1590.png","[{""x"":50.95238095238095,""y"":51.07142857142858,""width"":7.238095238095248,""height"":9.7857142857143,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":15.333333333333332,""y"":19.500000000000004,""width"":54.47619047619048,""height"":62.28571428571426,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",25.455,"2026-05-23T17:38:17.785924Z"
115,"1","2026-05-23T17:38:57.063585Z","",115,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1592.png","[{""x"":61.809523809523846,""y"":68.4285714285714,""width"":7.428571428571421,""height"":7.428571428571454,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":33.3333333333333,""y"":18.35714285714285,""width"":35.71428571428575,""height"":57.64285714285711,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",31.65,"2026-05-23T17:38:57.063595Z"
116,"1","2026-05-23T17:39:24.369390Z","",116,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1593.png","[{""x"":21.523809523809522,""y"":71.21428571428572,""width"":3.619047619047616,""height"":8.214285714285781,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":21.238095238095266,""y"":25.5,""width"":49.23809523809521,""height"":53.78571428571425,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",26.962,"2026-05-23T17:39:24.369400Z"
117,"1","2026-05-23T17:39:57.280220Z","",117,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1594.png","[{""x"":54.28571428571429,""y"":56.285714285714285,""width"":10.952380952380981,""height"":7.92857142857145,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":17.619047619047567,""y"":26.71428571428571,""width"":53.90476190476194,""height"":59.07142857142856,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",32.55,"2026-05-23T17:39:57.280231Z"
118,"1","2026-05-23T17:40:36.067885Z","Registraion number has defect",118,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1607.png","[{""x"":47.878872080222514,""y"":34.947272469289715,""width"":2.71681624724609,""height"":2.0262288771359622,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":47.20402449912166,""y"":20.26848660403918,""width"":9.33067010911785,""height"":18.188641071738516,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",38.445,"2026-05-23T17:40:36.067895Z"
119,"1","2026-05-23T17:41:21.171489Z","Registraion number has defect",119,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1608.png","[{""x"":57.18207812518236,""y"":42.39438895196746,""width"":5.068516675252588,""height"":4.976816538036081,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":57.10196126347968,""y"":11.211678691293615,""width"":37.15641923587767,""height"":37.90669308583317,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",44.753,"2026-05-23T17:41:21.171499Z"
121,"1","2026-05-23T17:41:52.476589Z","Registraion number has defect",121,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1610.png","[{""x"":42.880912598186924,""y"":47.729994865285555,""width"":4.381855787619014,""height"":6.053703684685123,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":27.265040925623975,""y"":25.291424829660535,""width"":27.26683993603866,""height"":46.983526408775646,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",26.108,"2026-05-23T17:41:52.476599Z"
122,"1","2026-05-23T17:42:31.095870Z","Registraion number has defect",122,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1611.png","[{""x"":49.27755964260287,""y"":48.06295297783689,""width"":5.768772268544456,""height"":4.351588329740178,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":41.333333333333336,""y"":29.428571428571438,""width"":24.285714285714295,""height"":39.285714285714285,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",25.9,"2026-05-23T17:42:31.095881Z"
123,"1","2026-05-23T17:42:59.442909Z","",123,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1612.png","[{""x"":33.52168541517653,""y"":57.71064438520058,""width"":4.7684071352710005,""height"":4.48663762273219,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":33.29963157640975,""y"":27.336508437824687,""width"":27.336508437824698,""height"":35.96210576043932,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",28.016,"2026-05-23T17:42:59.442919Z"
124,"1","2026-05-23T17:43:19.185878Z","",124,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1613.png","[{""x"":24.285714285714285,""y"":23.92857142857143,""width"":52.95238095238096,""height"":52.07142857142861,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",19.404,"2026-05-23T17:43:19.185888Z"
125,"1","2026-05-23T17:43:53.384953Z","Registraion number has defect",125,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1614.png","[{""x"":37.75674121054176,""y"":52.95120218879882,""width"":4.034806037537107,""height"":5.051843923031847,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":33.05706664565218,""y"":35.55556706769397,""width"":33.68576469186765,""height"":37.054341161054424,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",33.869,"2026-05-23T17:43:53.384962Z"
126,"1","2026-05-23T17:44:20.537667Z","",126,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1615.png","[{""x"":40.17413355874886,""y"":44.933903374731756,""width"":6.979214079805793,""height"":6.567397099941442,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":33.61904761904762,""y"":22.999999999999975,""width"":35.61904761904762,""height"":48.00000000000004,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",26.804,"2026-05-23T17:44:20.537678Z"
127,"1","2026-05-23T17:44:56.729565Z","",127,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1617.png","[{""x"":15.778258295046847,""y"":70.02947037207025,""width"":1.9750798785146149,""height"":6.9640803508664275,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":15.428571428571427,""y"":22.214285714285715,""width"":56.761904761904766,""height"":55.85714285714277,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",35.838,"2026-05-23T17:44:56.729575Z"
128,"1","2026-05-23T17:45:15.016626Z","",128,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1618.png","[{""x"":38.67153177576482,""y"":54.34478334592128,""width"":5.435317224120141,""height"":6.002190799641866,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":16.095238095238095,""y"":37.07142857142858,""width"":35.80952380952384,""height"":40.42857142857143,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",17.953,"2026-05-23T17:45:15.016637Z"
129,"1","2026-05-23T17:45:39.424348Z","Registraion number has defect",129,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1619.png","[{""x"":50.79043055843586,""y"":48.304891285319144,""width"":4.719671398008998,""height"":3.9052715779721083,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":36.65085980723235,""y"":20.043286272689784,""width"":19.29387787879176,""height"":33.9886337050811,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",24.044,"2026-05-23T17:45:39.424360Z"
130,"1","2026-05-23T17:46:03.629009Z","Registraion number has defect",130,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1620.png","[{""x"":53.0020124011931,""y"":58.805764103897914,""width"":8.036266570631604,""height"":6.9775468045836675,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":21.333333333333336,""y"":10.571428571428568,""width"":40,""height"":56.42857142857145,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",23.842,"2026-05-23T17:46:03.629018Z"
131,"1","2026-05-23T17:46:33.410212Z","",131,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1621.png","[{""x"":29.922101567071994,""y"":43.06336562845438,""width"":6.719119145154641,""height"":11.151570323167888,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":13.428571428571425,""y"":7.714285714285716,""width"":65.14285714285714,""height"":68.64285714285717,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",29.388,"2026-05-23T17:46:33.410223Z"
133,"1","2026-05-23T17:47:13.266618Z","Registraion number has defect",133,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1623.png","[{""x"":30.876173136528156,""y"":65.05972429936926,""width"":5.722088562325251,""height"":5.364458027179907,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":30.786747366870543,""y"":31.39332591089627,""width"":27.5134437675194,""height"":40.805710410830606,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",26.42,"2026-05-23T17:47:13.266628Z"
134,"1","2026-05-23T17:47:38.513193Z","",134,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1624.png","[{""x"":66.21020005635391,""y"":37.969146238377,""width"":5.522682445759336,""height"":7.988165680473392,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":22.190476190476197,""y"":13.000000000000004,""width"":59.333333333333336,""height"":53.6428571428572,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",24.902,"2026-05-23T17:47:38.513207Z"
135,"1","2026-05-23T17:48:08.869639Z","",135,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1625.png","[{""x"":68.67893447775103,""y"":44.30281552766761,""width"":6.9792140798057245,""height"":5.592041094999657,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":57.61904761904761,""y"":24.14285714285716,""width"":30.857142857142865,""height"":44.92857142857145,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",29.896,"2026-05-23T17:48:08.869648Z"
136,"1","2026-05-23T17:48:31.970838Z","Registraion number has defect",136,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1626.png","[{""x"":65.40327219435082,""y"":53.23704402106767,""width"":6.16891832185424,""height"":5.627053874664185,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":42.571428571428534,""y"":12.500000000000005,""width"":29.428571428571416,""height"":47.642857142857125,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",22.743,"2026-05-23T17:48:31.970848Z"
138,"1","2026-05-23T17:49:06.484515Z","",138,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1628.png","[{""x"":20.073260073260073,""y"":50.57142857142855,""width"":4.249084249084236,""height"":8.57142857142849,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":10.095238095238097,""y"":26.2142857142857,""width"":50.85714285714273,""height"":51.78571428571431,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",28.503,"2026-05-23T17:49:06.484525Z"
139,"1","2026-05-23T17:49:39.392361Z","Registraion number has defect",139,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1629.png","[{""x"":38.04009796909206,""y"":65.94079589050006,""width"":5.982183496976397,""height"":7.022563235580999,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":37.7756928898095,""y"":28.262196262860435,""width"":41.40286714855003,""height"":46.578225542118844,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",32.529,"2026-05-23T17:49:39.392371Z"
140,"1","2026-05-23T17:50:11.021923Z","Registraion number has defect",140,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1630.png","[{""x"":58.83347421808956,""y"":83.38968723584108,""width"":10.876303183995512,""height"":8.537616229923861,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":37.904761904761884,""y"":17.571428571428566,""width"":37.047619047619044,""height"":74.71428571428571,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",31.268,"2026-05-23T17:50:11.021934Z"
141,"1","2026-05-23T17:50:29.981798Z","",141,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1631.png","[{""x"":22.666666666666664,""y"":22.42857142857141,""width"":61.999999999999986,""height"":55.07142857142854,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",18.561,"2026-05-23T17:50:29.981809Z"
142,"1","2026-05-23T17:51:04.700344Z","",142,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1632.png","[{""x"":31.649207345296336,""y"":52.39795525366747,""width"":5.554078520711283,""height"":4.612068020211942,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":31.563538040566137,""y"":21.329008001129605,""width"":21.163439688752476,""height"":37.29775810871111,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",34.311,"2026-05-23T17:51:04.700354Z"
143,"1","2026-05-23T17:51:26.323956Z","",143,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1633.png","[{""x"":31.333333333333364,""y"":2.571428571428572,""width"":46.190476190476204,""height"":48.92857142857145,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",21.144,"2026-05-23T17:51:26.323966Z"
144,"1","2026-05-23T17:51:53.258152Z","Registraion number has defect",144,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1634.png","[{""x"":60.71639327841829,""y"":44.76603248647292,""width"":1.8981287144166696,""height"":3.2319488921148354,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":37.861897541320495,""y"":21.887251141463643,""width"":25.052128253470148,""height"":27.93125344080918,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",26.589,"2026-05-23T17:51:53.258162Z"
